state,$default,$end,'(',')',"','",';','?','{','}',AS,AT,BLUEPRINT,CONSTRUCT,DIVIDE,DROP,EAST,EAST_SCAN,ELSE,EMPTY,EQ_OP,FALSE,GO,GRID,IDENTIFIER,IF,INTEGER,MINUS,MODULO,MULTIPLY,NE_OP,NORTH,NORTH_SCAN,OBSTACLE,PICK,PLUS,REPEAT,SCAN,SOUTH,SOUTH_SCAN,SPAWN,THEN,TRUE,TURN,UMINUS,WEST,WEST_SCAN,error
0,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,,r1,,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1
1,,s2,,,,s6,,,,,,s4,s5,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,
2,acc,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,,r6,,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6
7,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,,r2,,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2
8,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,,r3,,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3
9,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,,r4,,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4
